date,high,low,open,close,volume,quoteVolume,weightedAverage
1500000000,0.08659309,0.0862421,0.0864961,0.08636392,49.75685525,575.64509072,0.08643668
1500000300,0.08662176,0.08631063,0.08636392,0.08662171,28.72777964,332.23883257,0.08646725
1500000600,0.08664588,0.08623585,0.08662171,0.08629999,52.51895354,607.57424998,0.08644038
1500000900,0.0863,0.0861623,0.08623586,0.08616231,37.8452089,438.8623963,0.08623479
1500001200,0.0863,0.08616232,0.08628535,0.08627999,10.79349011,125.12838645,0.08625932
1500001500,0.08673971,0.08624601,0.08627999,0.08658979,86.225949,996.5729689,0.08652246
1500001800,0.0867097,0.08646442,0.08650201,0.086698,26.30597751,303.70409171,0.08661713
1500002100,0.086698,0.08655,0.08663733,0.08665748,17.49253029,201.94886198,0.08661861
1500002400,0.08665747,0.08655,0.08656001,0.08655495,6.26317948,72.35335342,0.08656377
1500002700,0.08660247,0.08635593,0.08655,0.08635603,44.24102893,511.37245054,0.08651429
1500003000,0.08649086,0.0862112,0.086356,0.08639999,47.01694721,544.36971058,0.08636951
1500003300,0.0864,0.08624903,0.08630003,0.08631,15.72179775,182.12739478,0.08632308
1500003600,0.08677937,0.08630011,0.08631002,0.08651,68.14332649,787.35835902,0.08654677
1500003900,0.08651001,0.08649,0.08651001,0.08649033,20.34953575,235.2807603,0.08649043
1500004200,0.08649033,0.08647096,0.08649033,0.08647096,10.3028602,119.12257625,0.08648956
1500004500,0.08649033,0.0863988,0.08649032,0.08639881,11.85229496,137.04137708,0.08648698
1500004800,0.08648597,0.08633,0.08639881,0.08647999,8.22096005,95.14898773,0.08640091
1500005100,0.08648,0.08599621,0.08647999,0.086,93.13673691,1081.80039101,0.08609419
1500005400,0.086281,0.08595588,0.08599621,0.08599999,58.69922749,682.17123373,0.08604764
1500005700,0.08649033,0.08595545,0.086,0.086,117.2887132,1361.76612259,0.08612985
1500006000,0.08634986,0.08585148,0.08598,0.08601001,85.84360621,997.71280265,0.08604039
1500006300,0.08679871,0.086021,0.08611111,0.08677636,45.67095597,528.13608226,0.08647573
1500006600,0.08699948,0.08675957,0.0867987,0.08699947,29.5938941,340.29159923,0.08696627
1500006900,0.08699947,0.08671999,0.08699947,0.08681391,21.85533547,251.64797593,0.08684884
1500007200,0.08699944,0.08674302,0.08681391,0.08679999,22.14852073,254.98974634,0.08686043
1500007500,0.08699947,0.08679999,0.08679999,0.08699,26.81587019,308.42722468,0.08694391
1500007800,0.08699399,0.08673281,0.08693001,0.0868766,38.17151326,439.88338503,0.08677643
1500008100,0.08699948,0.08664561,0.08676031,0.08689999,57.79052478,665.68386366,0.08681376
1500008400,0.08699499,0.08675718,0.08699499,0.08689,20.21043111,232.66402982,0.0868653
1500008700,0.08683957,0.08659375,0.08683957,0.08675499,42.06505292,485.13313744,0.08670826
1500009000,0.08676499,0.08652611,0.08676,0.08661,30.09377523,347.39286498,0.08662749
1500009300,0.08669999,0.08637014,0.0866248,0.08644506,52.31843225,604.52896709,0.08654412
1500009600,0.0865,0.08644,0.0865,0.0865,13.52292305,156.35670305,0.08648764
1500009900,0.0865,0.08649999,0.0865,0.0865,15.32489855,177.16646334,0.08649999
1500010200,0.08659999,0.08649999,0.0865,0.08659999,3.61250675,41.7491536,0.08652886
1500010500,0.087,0.08659998,0.0866,0.08672847,138.96734598,1600.0831859,0.08685007
1500010800,0.08698499,0.08672201,0.08672201,0.08698398,13.71722748,157.7626739,0.08694849
1500011100,0.08698398,0.08668006,0.08697873,0.08668006,27.11144727,312.23673069,0.08682978
1500011400,0.087,0.0867221,0.08682297,0.0869,17.14749183,197.2199838,0.08694601
1500011700,0.0869955,0.08682471,0.0869,0.08690011,7.48806967,86.14129833,0.08692775
1500012000,0.0869666,0.0867578,0.08690011,0.0868159,18.39510891,211.8230582,0.08684186
1500012300,0.08693035,0.08592957,0.08678,0.08654684,120.67046553,1396.37346039,0.08641704
1500012600,0.0866,0.08640239,0.08654684,0.08646268,39.35546199,455.23181783,0.08645147
1500012900,0.08657143,0.08623413,0.08657139,0.08640025,40.16960496,464.7936315,0.0864246
1500013200,0.0865,0.08597,0.0865,0.08598926,145.40054374,1688.59232594,0.08610754
1500013500,0.08607867,0.08571079,0.08603822,0.086,107.08819958,1246.52639819,0.08590929
1500013800,0.08611899,0.08591217,0.086,0.0860999,76.13486151,884.95161954,0.08603279
1500014100,0.08632133,0.0860999,0.0860999,0.08627234,68.14052897,790.61594394,0.08618663
1500014400,0.0863824,0.0861,0.08627232,0.08632939,33.88498929,392.85265245,0.08625368
1500014700,0.08648522,0.08632939,0.08639482,0.08648517,26.58740786,307.66142928,0.08641774
1500015000,0.08665199,0.08637339,0.08643667,0.08639,47.22441825,545.70326169,0.08653864
1500015300,0.086522,0.085908,0.08639,0.08621704,151.69760272,1760.8527518,0.08615007
1500015600,0.08652,0.08615531,0.08621704,0.08652,17.93566756,207.61332889,0.08638976
1500015900,0.08675949,0.0864518,0.08651168,0.08649996,51.71059695,597.46262791,0.08655034
1500016200,0.08649999,0.0861234,0.08647988,0.0863,103.39193169,1198.85391582,0.08624231
1500016500,0.08629,0.08606706,0.0862876,0.0862117,13.47237556,156.32674414,0.08618087
1500016800,0.08641242,0.08612673,0.08617233,0.08618311,11.91246621,138.13637032,0.086237
1500017100,0.0865,0.08615,0.08623769,0.0865,132.34209271,1530.85484501,0.08644979
1500017400,0.08682456,0.08628861,0.08628861,0.08651,16.65838327,192.30743872,0.0866237
1500017700,0.08677151,0.08651011,0.08654133,0.08665835,12.08095205,139.52641008,0.08658541
1500018000,0.08677151,0.08653551,0.08665,0.08662699,38.02308174,438.6840124,0.08667533
1500018300,0.08662697,0.08629032,0.08662697,0.086463,44.99487141,520.87433505,0.08638335
1500018600,0.08660219,0.08630051,0.08637664,0.0865726,13.29914739,153.86163648,0.08643575
1500018900,0.086679,0.0864886,0.08649051,0.08665001,16.0440446,185.34190404,0.08656458
1500019200,0.08679583,0.08665001,0.08665001,0.08674484,10.80739199,124.59245042,0.08674194
1500019500,0.08693138,0.08665,0.08679573,0.08665,27.02743425,311.37005372,0.08680164
1500019800,0.08669911,0.0858,0.08665,0.08621526,158.76683126,1842.03370032,0.08619105
1500020100,0.086217,0.08606752,0.08621526,0.08609608,41.77096601,484.86265378,0.08615009
1500020400,0.08620796,0.08587614,0.08611,0.086,88.12236485,1024.2053788,0.08603974
1500020700,0.0863254,0.08599499,0.085995,0.08622001,46.3023235,537.08727802,0.08621005
1500021000,0.08632541,0.08604176,0.08622001,0.08632534,21.88402646,253.76564014,0.08623715
1500021300,0.08632329,0.08604428,0.0862175,0.08604429,10.38039225,120.43159465,0.08619326
1500021600,0.0862177,0.0860189,0.0860443,0.08610064,16.29837521,189.32838054,0.08608521
1500021900,0.08618368,0.086,0.0861077,0.08617981,50.32195051,584.205925,0.08613735
1500022200,0.08629997,0.08605688,0.0861798,0.08617999,24.15773354,280.22344292,0.08620882
1500022500,0.08626984,0.0861,0.08617999,0.08626623,8.19208743,95.01997658,0.08621437
1500022800,0.08626632,0.08609582,0.0862,0.08609988,14.94744294,173.30850417,0.0862476
1500023100,0.08609987,0.08584391,0.08609987,0.086,17.90191351,208.20275577,0.08598307
1500023400,0.08605395,0.0859,0.086,0.08595,10.51785995,122.30271866,0.08599857
1500023700,0.08599998,0.08562983,0.08595,0.08598,21.14628118,246.24726189,0.08587417
1500024000,0.0861563,0.08595009,0.08595011,0.08600002,20.22834997,235.22723624,0.08599493
1500024300,0.08633,0.08604001,0.08610828,0.086215,28.16695522,326.56553261,0.08625207
1500024600,0.08655,0.08623327,0.08623327,0.08654133,21.42053596,247.9411901,0.08639361
